ENTREZ_GENE_ID	Name	Species
2538	glucose-6-phosphatase, catalytic subunit	Homo sapiens
3799	kinesin family member 5B	Homo sapiens
55812	spermatogenesis associated 7	Homo sapiens
5495	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	Homo sapiens
4898	nardilysin (N-arginine dibasic convertase)	Homo sapiens
53833	interleukin 20 receptor beta	Homo sapiens
10905	mannosidase, alpha, class 1A, member 2	Homo sapiens
114785	methyl-CpG binding domain protein 6	Homo sapiens
766	carbonic anhydrase VII	Homo sapiens
9929	Josephin domain containing 1	Homo sapiens
64151	non-SMC condensin I complex, subunit G	Homo sapiens
10527	importin 7	Homo sapiens
79696	family with sequence similarity 164, member C	Homo sapiens
528	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	Homo sapiens
7288	tubby like protein 2	Homo sapiens
10635	RAD51 associated protein 1	Homo sapiens
7353	ubiquitin fusion degradation 1 like (yeast)	Homo sapiens
7528	YY1 transcription factor	Homo sapiens
5908	RAP1B, member of RAS oncogene family	Homo sapiens
153396	transmembrane protein 161B	Homo sapiens
57602	ubiquitin specific peptidase 36	Homo sapiens
7392	upstream transcription factor 2, c-fos interacting	Homo sapiens
57019	cytokine induced apoptosis inhibitor 1; cytokine induced apoptosis inhibitor 1 pseudogene	Homo sapiens
5318	plakophilin 2	Homo sapiens
201475	RAB12, member RAS oncogene family	Homo sapiens
5157	platelet-derived growth factor receptor-like	Homo sapiens
55208	DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)	Homo sapiens
7342	upstream binding protein 1 (LBP-1a)	Homo sapiens
2917	glutamate receptor, metabotropic 7	Homo sapiens
29950	SERTA domain containing 1	Homo sapiens
3915	laminin, gamma 1 (formerly LAMB2)	Homo sapiens
6342	sterol carrier protein 2	Homo sapiens
11054	opioid growth factor receptor	Homo sapiens
56970	ataxin 7-like 3	Homo sapiens
140	adenosine A3 receptor	Homo sapiens
4899	nuclear respiratory factor 1	Homo sapiens
1152	creatine kinase, brain	Homo sapiens
1030	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Homo sapiens
7536	splicing factor 1	Homo sapiens
84101	ubiquitin specific peptidase 44	Homo sapiens
249	alkaline phosphatase, liver/bone/kidney	Homo sapiens
4188	MyoD family inhibitor	Homo sapiens
118460	exosome component 6	Homo sapiens
7919	HLA-B associated transcript 1	Homo sapiens
51001	MTERF domain containing 1	Homo sapiens
55665	up-regulated gene 4	Homo sapiens
90639	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	Homo sapiens
5496	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	Homo sapiens
284098	phosphatidylinositol glycan anchor biosynthesis, class W	Homo sapiens
2733	GLE1 RNA export mediator homolog (yeast)	Homo sapiens
10672	guanine nucleotide binding protein (G protein), alpha 13	Homo sapiens
9985	REC8 homolog (yeast)	Homo sapiens
57291	KIAA0114	Homo sapiens
7095	SEC62 homolog (S. cerevisiae)	Homo sapiens
29883	CCR4-NOT transcription complex, subunit 7	Homo sapiens
25996	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	Homo sapiens
23210	jumonji domain containing 6	Homo sapiens
123096	solute carrier family 25, member 29	Homo sapiens
283869	neuropeptide W	Homo sapiens
53335	B-cell CLL/lymphoma 11A (zinc finger protein)	Homo sapiens
23381	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	Homo sapiens
115123	membrane-associated ring finger (C3HC4) 3	Homo sapiens
5096	propionyl Coenzyme A carboxylase, beta polypeptide	Homo sapiens
6650	small optic lobes homolog (Drosophila)	Homo sapiens
84844	PHD finger protein 5A	Homo sapiens
148223	chromosome 19 open reading frame 25	Homo sapiens
65056	GC-rich promoter binding protein 1	Homo sapiens
173	afamin	Homo sapiens
54545	myotubularin related protein 12	Homo sapiens
79957	progestin and adipoQ receptor family member VI	Homo sapiens
8760	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	Homo sapiens
80758	proline rich 7 (synaptic)	Homo sapiens
79842	zinc finger and BTB domain containing 3	Homo sapiens
9441	mediator complex subunit 26	Homo sapiens
9371	kinesin family member 3B	Homo sapiens
7750	zinc finger, MYM-type 2	Homo sapiens
10274	stromal antigen 1	Homo sapiens
137492	vacuolar protein sorting 37 homolog A (S. cerevisiae)	Homo sapiens
11076	tubulin polymerization promoting protein	Homo sapiens
147807	zinc finger protein 524	Homo sapiens
4149	MYC associated factor X	Homo sapiens
1186	chloride channel 7	Homo sapiens
8813	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	Homo sapiens
169792	GLIS family zinc finger 3	Homo sapiens
2020	engrailed homeobox 2	Homo sapiens
22903	BTB (POZ) domain containing 3	Homo sapiens
374986	family with sequence similarity 73, member A	Homo sapiens
84307	zinc finger protein 397	Homo sapiens
1124	chimerin (chimaerin) 2	Homo sapiens
3993	lethal giant larvae homolog 2 (Drosophila)	Homo sapiens
142678	mindbomb homolog 2 (Drosophila)	Homo sapiens
51422	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	Homo sapiens
51095	tRNA nucleotidyl transferase, CCA-adding, 1	Homo sapiens
54471	Smith-Magenis syndrome chromosome region, candidate 7-like	Homo sapiens
348995	nucleoporin 43kDa	Homo sapiens
203427	solute carrier family 25, member 43	Homo sapiens
26960	neurobeachin	Homo sapiens
254263	cornichon homolog 2 (Drosophila)	Homo sapiens
6455	SH3-domain GRB2-like 1	Homo sapiens
825	calpain 3, (p94)	Homo sapiens
56926	nicalin homolog (zebrafish)	Homo sapiens
10656	KH domain containing, RNA binding, signal transduction associated 3	Homo sapiens
9819	TSC22 domain family, member 2	Homo sapiens
23560	GTP binding protein 4	Homo sapiens
23564	dimethylarginine dimethylaminohydrolase 2	Homo sapiens
5937	RNA binding motif, single stranded interacting protein 1	Homo sapiens
7343	upstream binding transcription factor, RNA polymerase I	Homo sapiens
83547	Rab interacting lysosomal protein	Homo sapiens
9520	hypothetical protein FLJ11822; aminopeptidase puromycin sensitive	Homo sapiens
57688	zinc finger, SWIM-type containing 6	Homo sapiens
57530	cingulin	Homo sapiens
441381	leucine rich repeat containing 24	Homo sapiens
8729	golgi-specific brefeldin A resistant guanine nucleotide exchange factor 1	Homo sapiens
79890	Ras and Rab interactor 3	Homo sapiens
3655	integrin, alpha 6	Homo sapiens
535	ATPase, H+ transporting, lysosomal V0 subunit a1	Homo sapiens
220064	oral cancer overexpressed 1	Homo sapiens
10664	CCCTC-binding factor (zinc finger protein)	Homo sapiens
7988	zinc finger protein 212	Homo sapiens
57610	RAN binding protein 10	Homo sapiens
23475	quinolinate phosphoribosyltransferase	Homo sapiens
84967	LSM10, U7 small nuclear RNA associated	Homo sapiens
136853	scavenger receptor cysteine rich domain containing, group B (4 domains)	Homo sapiens
5527	protein phosphatase 2, regulatory subunit B', gamma isoform	Homo sapiens
93100	nicotinate phosphoribosyltransferase domain containing 1	Homo sapiens
123688	aminoglycoside phosphotransferase domain containing 1	Homo sapiens
10633	RAS-like, family 10, member A	Homo sapiens
388969	chromosome 2 open reading frame 68	Homo sapiens
7332	ubiquitin-conjugating enzyme E2L 3	Homo sapiens
9628	regulator of G-protein signaling 6	Homo sapiens
346171	zinc finger protein 57 homolog (mouse)	Homo sapiens
55773	TBC1 domain family, member 23	Homo sapiens
5914	retinoic acid receptor, alpha	Homo sapiens
27037	TRM2 tRNA methyltransferase 2 homolog A (S. cerevisiae)	Homo sapiens
283209	phosphoglucomutase 2-like 1	Homo sapiens
26503	solute carrier family 17 (anion/sugar transporter), member 5	Homo sapiens
1979	eukaryotic translation initiation factor 4E binding protein 2	Homo sapiens
54863	chromosome 9 open reading frame 167	Homo sapiens
8777	multiple PDZ domain protein	Homo sapiens
122769	peptidylprolyl isomerase (cyclophilin)-like 5	Homo sapiens
9326	zinc finger, HIT type 3	Homo sapiens
54971	BTG3 associated nuclear protein	Homo sapiens
2048	EPH receptor B2	Homo sapiens
66005	chitinase domain containing 1	Homo sapiens
219899	tubulin folding cofactor E-like	Homo sapiens
386724	adhesion molecule with Ig-like domain 3	Homo sapiens
84445	leucine zipper, putative tumor suppressor 2	Homo sapiens
402778	similar to RIKEN cDNA 6330512M04 gene (mouse)	Homo sapiens
117177	RAB3A interacting protein (rabin3)	Homo sapiens
29850	transient receptor potential cation channel, subfamily M, member 5	Homo sapiens
327	N-acylaminoacyl-peptide hydrolase	Homo sapiens
8785	matrilin 4	Homo sapiens
125476	INO80 complex subunit C	Homo sapiens
9572	nuclear receptor subfamily 1, group D, member 1	Homo sapiens
6533	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	Homo sapiens
9118	internexin neuronal intermediate filament protein, alpha	Homo sapiens
6651	SON DNA binding protein	Homo sapiens
23235	salt-inducible kinase 2	Homo sapiens
144203	ovostatin; ovostatin 2	Homo sapiens
7086	transketolase	Homo sapiens
9797	TatD DNase domain containing 2	Homo sapiens
64897	chromosome 12 open reading frame 43	Homo sapiens
57575	protocadherin 10	Homo sapiens
1209	cleft lip and palate associated transmembrane protein 1	Homo sapiens
51125	golgi autoantigen, golgin subfamily a, 7	Homo sapiens
94097	sideroflexin 5	Homo sapiens
1299	collagen, type IX, alpha 3	Homo sapiens
345557	phosphatidylinositol-specific phospholipase C, X domain containing 3	Homo sapiens
9215	like-glycosyltransferase	Homo sapiens
81539	solute carrier family 38, member 1	Homo sapiens
55007	family with sequence similarity 118, member A	Homo sapiens
220988	heterogeneous nuclear ribonucleoprotein A3	Homo sapiens
25900	intermediate filament family orphan 1	Homo sapiens
2313	Friend leukemia virus integration 1	Homo sapiens
219790	rhotekin 2	Homo sapiens
5311	polycystic kidney disease 2 (autosomal dominant)	Homo sapiens
8740	tumor necrosis factor (ligand) superfamily, member 14	Homo sapiens
121260	solute carrier family 15, member 4	Homo sapiens
374882	transmembrane protein 205	Homo sapiens
2944	glutathione S-transferase mu 1	Homo sapiens
3383	intercellular adhesion molecule 1	Homo sapiens
51496	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	Homo sapiens
54577	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54658	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54600	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54657	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54659	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54578	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54575	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
54576	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1	Homo sapiens
149069	doublecortin domain containing 2B	Homo sapiens
5464	pyrophosphatase (inorganic) 1	Homo sapiens
92370	acid phosphatase-like 2	Homo sapiens
253827	methionine sulfoxide reductase B3	Homo sapiens
23348	dedicator of cytokinesis 9	Homo sapiens
4861	neuronal PAS domain protein 1	Homo sapiens
83874	TBC1 domain family, member 10A	Homo sapiens
23133	PHD finger protein 8	Homo sapiens
23588	kelch domain containing 2	Homo sapiens
9658	zinc finger protein 516	Homo sapiens
5261	phosphorylase kinase, gamma 2 (testis)	Homo sapiens
55610	coiled-coil domain containing 132	Homo sapiens
6135	ribosomal protein L11	Homo sapiens
642987	hypothetical protein LOC642987	Homo sapiens
51193	zinc finger protein 639	Homo sapiens
2081	endoplasmic reticulum to nucleus signaling 1	Homo sapiens
79258	membrane metallo-endopeptidase-like 1	Homo sapiens
10915	transcription elongation regulator 1	Homo sapiens
55135	WD repeat containing, antisense to TP53	Homo sapiens
64784	CREB regulated transcription coactivator 3	Homo sapiens
9758	FERM and PDZ domain containing 4	Homo sapiens
129303	transmembrane protein 150A	Homo sapiens
23208	synaptotagmin XI	Homo sapiens
6520	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	Homo sapiens
256329	chromosome 11 open reading frame 35	Homo sapiens
7227	trichorhinophalangeal syndrome I	Homo sapiens
50859	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	Homo sapiens
8241	RNA binding motif protein 10	Homo sapiens
1880	G protein-coupled receptor 183	Homo sapiens
8470	sorbin and SH3 domain containing 2	Homo sapiens
79820	cation channel, sperm-associated, beta	Homo sapiens
9915	aryl-hydrocarbon receptor nuclear translocator 2	Homo sapiens
57701	KIAA1602	Homo sapiens
8942	kynureninase (L-kynurenine hydrolase)	Homo sapiens
23091	zinc finger CCCH-type containing 13	Homo sapiens
653499	lectin, galactoside-binding, soluble, 7; lectin, galactoside-binding, soluble, 7B	Homo sapiens
3963	lectin, galactoside-binding, soluble, 7; lectin, galactoside-binding, soluble, 7B	Homo sapiens
10068	interleukin 18 binding protein	Homo sapiens
345456	profilin 3	Homo sapiens
9982	fibroblast growth factor binding protein 1	Homo sapiens
9639	Rho guanine nucleotide exchange factor (GEF) 10	Homo sapiens
5717	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	Homo sapiens
23710	GABA(A) receptors associated protein like 3 (pseudogene); GABA(A) receptor-associated protein like 1	Homo sapiens
54815	GATA zinc finger domain containing 2A	Homo sapiens
84514	GH3 domain containing	Homo sapiens
5782	protein tyrosine phosphatase, non-receptor type 12	Homo sapiens
9370	adiponectin, C1Q and collagen domain containing	Homo sapiens
10659	CUG triplet repeat, RNA binding protein 2	Homo sapiens
5801	protein tyrosine phosphatase, receptor type, R	Homo sapiens
675	breast cancer 2, early onset	Homo sapiens
2122	ecotropic viral integration site 1	Homo sapiens
140890	splicing factor, arginine/serine-rich 12	Homo sapiens
55068	ecto-NOX disulfide-thiol exchanger 1	Homo sapiens
54858	pyroglutamyl-peptidase I	Homo sapiens
7512	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	Homo sapiens
405	aryl hydrocarbon receptor nuclear translocator	Homo sapiens
9612	nuclear receptor co-repressor 2	Homo sapiens
10642	insulin-like growth factor 2 mRNA binding protein 1	Homo sapiens
4661	myelin transcription factor 1	Homo sapiens
253260	RPTOR independent companion of MTOR, complex 2	Homo sapiens
9352	thioredoxin-like 1	Homo sapiens
6767	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	Homo sapiens
4869	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)	Homo sapiens
57634	E1A binding protein p400	Homo sapiens
51111	suppressor of variegation 4-20 homolog 1 (Drosophila)	Homo sapiens
23131	G patch domain containing 8	Homo sapiens
84262	proteasome (prosome, macropain) assembly chaperone 3	Homo sapiens
93487	mitogen-activated protein kinase 1 interacting protein 1-like	Homo sapiens
5357	plastin 1 (I isoform)	Homo sapiens
9249	dehydrogenase/reductase (SDR family) member 3	Homo sapiens
79902	nucleoporin 85kDa	Homo sapiens
130814	PQ loop repeat containing 3	Homo sapiens
5681	protein serine kinase H1	Homo sapiens
51548	sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae)	Homo sapiens
84629	trinucleotide repeat containing 18	Homo sapiens
8626	tumor protein p63	Homo sapiens
2785	guanine nucleotide binding protein (G protein), gamma 3	Homo sapiens
246176	growth arrest-specific 2 like 2	Homo sapiens
51304	zinc finger, DHHC-type containing 3	Homo sapiens
10244	Rab9 effector protein with kelch motifs	Homo sapiens
64841	glucosamine-phosphate N-acetyltransferase 1	Homo sapiens
196527	anoctamin 6	Homo sapiens
55218	exonuclease 3'-5' domain containing 2	Homo sapiens
51604	phosphatidylinositol glycan anchor biosynthesis, class T	Homo sapiens
55793	family with sequence similarity 63, member A	Homo sapiens
51380	cysteine sulfinic acid decarboxylase	Homo sapiens
3815	similar to Mast/stem cell growth factor receptor precursor (SCFR) (Proto-oncogene tyrosine-protein kinase Kit) (c-kit) (CD117 antigen); v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	Homo sapiens
9690	ubiquitin protein ligase E3C	Homo sapiens
51282	SCAN domain containing 1	Homo sapiens
1499	catenin (cadherin-associated protein), beta 1, 88kDa	Homo sapiens
57186	chromosome 20 open reading frame 74	Homo sapiens
131118	similar to translocase of the inner mitochondrial membrane 14; DnaJ (Hsp40) homolog, subfamily C, member 19	Homo sapiens
10294	DnaJ (Hsp40) homolog, subfamily A, member 2	Homo sapiens
3995	fatty acid desaturase 3	Homo sapiens
5996	regulator of G-protein signaling 1	Homo sapiens
1759	dynamin 1	Homo sapiens
65998	hypothetical protein LOC65998	Homo sapiens
29984	ras homolog gene family, member D	Homo sapiens
5786	protein tyrosine phosphatase, receptor type, A	Homo sapiens
90	activin A receptor, type I	Homo sapiens
9793	cytoskeleton associated protein 5	Homo sapiens
389840	mitogen-activated protein kinase kinase kinase 15	Homo sapiens
4208	myocyte enhancer factor 2C	Homo sapiens
2017	cortactin	Homo sapiens
4967	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	Homo sapiens
6564	solute carrier family 15 (oligopeptide transporter), member 1	Homo sapiens
79717	phosphopantothenoylcysteine synthetase	Homo sapiens
54836	B-box and SPRY domain containing	Homo sapiens
9653	heparan sulfate 2-O-sulfotransferase 1	Homo sapiens
10051	structural maintenance of chromosomes 4	Homo sapiens
10890	RAB10, member RAS oncogene family	Homo sapiens
136263	chromosome 7 open reading frame 45	Homo sapiens
60598	potassium channel, subfamily K, member 15	Homo sapiens
522	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	Homo sapiens
26098	chromosome 10 open reading frame 137	Homo sapiens
2744	glutaminase	Homo sapiens
2512	similar to ferritin, light polypeptide; ferritin, light polypeptide	Homo sapiens
55722	centrosomal protein 72kDa	Homo sapiens
79679	V-set domain containing T cell activation inhibitor 1	Homo sapiens
118987	PDZ domain containing 8	Homo sapiens
11100	heterogeneous nuclear ribonucleoprotein U-like 1	Homo sapiens
84766	EF-hand calcium binding domain 4B	Homo sapiens
1435	colony stimulating factor 1 (macrophage)	Homo sapiens
54726	OTU domain containing 4	Homo sapiens
126364	leucine rich repeat containing 25	Homo sapiens
4041	low density lipoprotein receptor-related protein 5	Homo sapiens
1544	cytochrome P450, family 1, subfamily A, polypeptide 2	Homo sapiens
85476	G elongation factor, mitochondrial 1	Homo sapiens
124961	zinc finger protein 3 homolog (mouse)	Homo sapiens
57560	intraflagellar transport 80 homolog (Chlamydomonas)	Homo sapiens
2137	exostoses (multiple)-like 3	Homo sapiens
10157	aminoadipate-semialdehyde synthase	Homo sapiens
64324	nuclear receptor binding SET domain protein 1	Homo sapiens
9820	cullin 7	Homo sapiens
116988	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	Homo sapiens
338	apolipoprotein B (including Ag(x) antigen)	Homo sapiens
6924	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	Homo sapiens
351	amyloid beta (A4) precursor protein	Homo sapiens
27443	cat eye syndrome chromosome region, candidate 2	Homo sapiens
23624	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	Homo sapiens
9204	hypothetical LOC100130633; zinc finger, MYM-type 6	Homo sapiens
10548	transmembrane 9 superfamily member 1	Homo sapiens
10150	muscleblind-like 2 (Drosophila)	Homo sapiens
283232	transmembrane protein 80	Homo sapiens
8554	protein inhibitor of activated STAT, 1	Homo sapiens
254013	chromosome 12 open reading frame 72	Homo sapiens
10054	ubiquitin-like modifier activating enzyme 2	Homo sapiens
80273	GrpE-like 1, mitochondrial (E. coli)	Homo sapiens
55100	WD repeat domain 70	Homo sapiens
6917	transcription elongation factor A (SII), 1 pseudogene 2; transcription elongation factor A (SII), 1	Homo sapiens
221091	LRRN4 C-terminal like	Homo sapiens
283638	KIAA0284	Homo sapiens
79760	gem (nuclear organelle) associated protein 7	Homo sapiens
1738	dihydrolipoamide dehydrogenase	Homo sapiens
246329	SH3 and cysteine rich domain 3	Homo sapiens
9839	zinc finger E-box binding homeobox 2	Homo sapiens
4800	nuclear transcription factor Y, alpha	Homo sapiens
285590	SH3 and PX domains 2B	Homo sapiens
5902	similar to RAN binding protein 1; RAN binding protein 1	Homo sapiens
10526	importin 8	Homo sapiens
54923	Lck interacting transmembrane adaptor 1	Homo sapiens
6683	spastin	Homo sapiens
8842	prominin 1	Homo sapiens
56288	par-3 partitioning defective 3 homolog (C. elegans)	Homo sapiens
41	amiloride-sensitive cation channel 2, neuronal	Homo sapiens
286148	dpy-19-like 4 (C. elegans)	Homo sapiens
4534	myotubularin 1	Homo sapiens
5708	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	Homo sapiens
5411	pinin, desmosome associated protein	Homo sapiens
79595	Sin3A-associated protein, 130kDa	Homo sapiens
55031	ubiquitin specific peptidase 47	Homo sapiens
2517	fucosidase, alpha-L- 1, tissue	Homo sapiens
91894	chromosome 11 open reading frame 52	Homo sapiens
7290	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	Homo sapiens
54879	suppression of tumorigenicity 7 like	Homo sapiens
